historical_match_id,source,competition,season,match_date,home_team,away_team,neutral_venue,home_score,away_score,total_goals,winner,home_xg,away_xg,data_quality,event_timeline_available,lineup_available,match_stats_available,eligible_for_tail_backtest,is_large_score,large_score_type,favorite_side,favorite_score,underdog_score,favorite_margin,actual_scoreline
SB-3788788,statsbomb_open,FIFA Women's World Cup,2019,2019-06-18,England,Japan,false,2,0,2,home,,,0.80,true,true,false,true,false,not_large_score,home,2,0,2,2-0
SB-3869620,statsbomb_open,Copa America,2019,2019-06-22,Uruguay,Japan,false,4,3,7,home,,,0.80,true,true,false,true,true,open_game_high_total,away,4,3,0,4-3
SB-3869685,statsbomb_open,Copa America,2019,2019-07-02,Brazil,Argentina,false,2,0,2,home,,,0.80,true,true,false,true,false,not_large_score,home,2,0,2,2-0
SB-3929844,statsbomb_open,FIFA World Cup,2022,2022-11-24,Spain,Costa Rica,false,7,0,7,home,,,0.80,true,true,false,true,true,extreme_tail_warning,home,7,0,7,7-0
SB-3929991,statsbomb_open,FIFA World Cup,2022,2022-12-06,Portugal,Switzerland,false,6,1,7,home,,,0.80,true,true,false,true,true,extreme_tail_warning,home,6,1,5,6-1
SB-3930102,statsbomb_open,FIFA World Cup,2022,2022-12-13,France,Morocco,false,2,0,2,home,,,0.80,true,true,false,true,false,not_large_score,home,2,0,2,2-0
SB-3930158,statsbomb_open,FIFA World Cup,2022,2022-12-18,Argentina,France,false,3,3,6,draw,,,0.80,true,true,false,true,true,open_game_high_total,away,3,3,0,3-3
SB-3999012,statsbomb_open,UEFA Euro,2016,2016-06-15,France,Albania,false,2,0,2,home,,,0.80,true,true,false,true,false,not_large_score,home,2,0,2,2-0
SB-3999088,statsbomb_open,UEFA Euro,2016,2016-06-22,Hungary,Portugal,false,3,3,6,draw,,,0.80,true,true,false,true,true,open_game_high_total,away,3,3,0,3-3
SB-3999147,statsbomb_open,UEFA Euro,2016,2016-06-27,England,Iceland,false,1,2,3,away,,,0.80,true,true,false,true,false,not_large_score,home,2,1,0,1-2
