internal_match_id,fifa_match_id,provider,provider_match_id,provider_home,provider_away,internal_home,internal_away,kickoff_utc,match_confidence,status,reason
WC2026-K48,48,local,48,Colombia,DR Congo,Colombia,DR Congo,2026-06-23T20:00:00Z,1.0000,scheduled,local_normalized
WC2026-C49,49,local,49,Scotland,Brazil,Scotland,Brazil,2026-06-24T18:00:00Z,1.0000,scheduled,local_normalized
WC2026-C50,50,local,50,Morocco,Haiti,Morocco,Haiti,2026-06-24T18:00:00Z,1.0000,scheduled,local_normalized
WC2026-B51,51,local,51,Switzerland,Canada,Switzerland,Canada,2026-06-24T12:00:00Z,1.0000,scheduled,local_normalized
WC2026-B52,52,local,52,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,Qatar,2026-06-24T12:00:00Z,1.0000,scheduled,local_normalized
WC2026-A53,53,local,53,Czechia,Mexico,Czechia,Mexico,2026-06-24T19:00:00Z,1.0000,scheduled,local_normalized
WC2026-A54,54,local,54,South Africa,South Korea,South Africa,South Korea,2026-06-24T19:00:00Z,1.0000,scheduled,local_normalized
WC2026-E55,55,local,55,Curacao,Ivory Coast,Curacao,Ivory Coast,2026-06-25T16:00:00Z,1.0000,scheduled,local_normalized
WC2026-E56,56,local,56,Ecuador,Germany,Ecuador,Germany,2026-06-25T16:00:00Z,1.0000,scheduled,local_normalized
WC2026-F57,57,local,57,Japan,Sweden,Japan,Sweden,2026-06-25T18:00:00Z,1.0000,scheduled,local_normalized
WC2026-F58,58,local,58,Tunisia,Netherlands,Tunisia,Netherlands,2026-06-25T18:00:00Z,1.0000,scheduled,local_normalized
WC2026-D59,59,local,59,Turkey,United States,Turkey,United States,2026-06-25T19:00:00Z,1.0000,scheduled,local_normalized
WC2026-D60,60,local,60,Paraguay,Australia,Paraguay,Australia,2026-06-25T19:00:00Z,1.0000,scheduled,local_normalized
WC2026-I61,61,local,61,Norway,France,Norway,France,2026-06-26T15:00:00Z,1.0000,scheduled,local_normalized
WC2026-I62,62,local,62,Senegal,Iraq,Senegal,Iraq,2026-06-26T15:00:00Z,1.0000,scheduled,local_normalized
WC2026-G63,63,local,63,Egypt,Iran,Egypt,Iran,2026-06-26T20:00:00Z,1.0000,scheduled,local_normalized
WC2026-G64,64,local,64,New Zealand,Belgium,New Zealand,Belgium,2026-06-26T20:00:00Z,1.0000,scheduled,local_normalized
WC2026-H65,65,local,65,Cape Verde,Saudi Arabia,Cape Verde,Saudi Arabia,2026-06-26T19:00:00Z,1.0000,scheduled,local_normalized
WC2026-H66,66,local,66,Uruguay,Spain,Uruguay,Spain,2026-06-26T18:00:00Z,1.0000,scheduled,local_normalized
WC2026-L67,67,local,67,Panama,England,Panama,England,2026-06-27T17:00:00Z,1.0000,scheduled,local_normalized
WC2026-L68,68,local,68,Croatia,Ghana,Croatia,Ghana,2026-06-27T17:00:00Z,1.0000,scheduled,local_normalized
WC2026-J69,69,local,69,Algeria,Austria,Algeria,Austria,2026-06-27T21:00:00Z,1.0000,scheduled,local_normalized
WC2026-J70,70,local,70,Jordan,Argentina,Jordan,Argentina,2026-06-27T21:00:00Z,1.0000,scheduled,local_normalized
WC2026-K71,71,local,71,Colombia,Portugal,Colombia,Portugal,2026-06-27T19:30:00Z,1.0000,scheduled,local_normalized
WC2026-K72,72,local,72,DR Congo,Uzbekistan,DR Congo,Uzbekistan,2026-06-27T19:30:00Z,1.0000,scheduled,local_normalized
WC2026-F35,35,thestatsapi,WC2026-F35,Netherlands,Sweden,Netherlands,Sweden,2026-06-20T12:00:00Z,1.0000,scheduled,team_kickoff_exact
