match_id,provider_match_id,competition,season,stage,group,round,home_team,away_team,kickoff_utc,venue,city,country,status,home_score,away_score,home_ht_score,away_ht_score
WC2026-A54,54,WC2026,2026,group,A,3,South Africa,South Korea,2026-06-24T19:00:00Z,Estadio BBVA,Monterrey,Mexico,scheduled,,,,
WC2026-E55,55,WC2026,2026,group,E,3,Curacao,Ivory Coast,2026-06-25T16:00:00Z,Lincoln Financial Field,Philadelphia,USA,scheduled,,,,
WC2026-E56,56,WC2026,2026,group,E,3,Ecuador,Germany,2026-06-25T16:00:00Z,MetLife Stadium,New York/New Jersey,USA,scheduled,,,,
WC2026-F57,57,WC2026,2026,group,F,3,Japan,Sweden,2026-06-25T18:00:00Z,AT&T Stadium,Dallas,USA,scheduled,,,,
WC2026-F58,58,WC2026,2026,group,F,3,Tunisia,Netherlands,2026-06-25T18:00:00Z,Arrowhead Stadium,Kansas City,USA,scheduled,,,,
WC2026-D59,59,WC2026,2026,group,D,3,Turkey,USA,2026-06-25T19:00:00Z,SoFi Stadium,Los Angeles,USA,scheduled,,,,
WC2026-D60,60,WC2026,2026,group,D,3,Paraguay,Australia,2026-06-25T19:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,scheduled,,,,
WC2026-I61,61,WC2026,2026,group,I,3,Norway,France,2026-06-26T15:00:00Z,Gillette Stadium,Boston,USA,scheduled,,,,
WC2026-I62,62,WC2026,2026,group,I,3,Senegal,Iraq,2026-06-26T15:00:00Z,BMO Field,Toronto,Canada,scheduled,,,,
WC2026-G63,63,WC2026,2026,group,G,3,Egypt,Iran,2026-06-26T20:00:00Z,Lumen Field,Seattle,USA,scheduled,,,,
WC2026-G64,64,WC2026,2026,group,G,3,New Zealand,Belgium,2026-06-26T20:00:00Z,BC Place,Vancouver,Canada,scheduled,,,,
WC2026-H65,65,WC2026,2026,group,H,3,Cape Verde,Saudi Arabia,2026-06-26T19:00:00Z,NRG Stadium,Houston,USA,scheduled,,,,
WC2026-H66,66,WC2026,2026,group,H,3,Uruguay,Spain,2026-06-26T18:00:00Z,Estadio Akron,Guadalajara,Mexico,scheduled,,,,
WC2026-L67,67,WC2026,2026,group,L,3,Panama,England,2026-06-27T17:00:00Z,MetLife Stadium,New York/New Jersey,USA,scheduled,,,,
WC2026-L68,68,WC2026,2026,group,L,3,Croatia,Ghana,2026-06-27T17:00:00Z,Lincoln Financial Field,Philadelphia,USA,scheduled,,,,
WC2026-J69,69,WC2026,2026,group,J,3,Algeria,Austria,2026-06-27T21:00:00Z,Arrowhead Stadium,Kansas City,USA,scheduled,,,,
WC2026-J70,70,WC2026,2026,group,J,3,Jordan,Argentina,2026-06-27T21:00:00Z,AT&T Stadium,Dallas,USA,scheduled,,,,
WC2026-K71,71,WC2026,2026,group,K,3,Colombia,Portugal,2026-06-27T19:30:00Z,Hard Rock Stadium,Miami,USA,scheduled,,,,
WC2026-K72,72,WC2026,2026,group,K,3,DR Congo,Uzbekistan,2026-06-27T19:30:00Z,Mercedes-Benz Stadium,Atlanta,USA,scheduled,,,,
