team,default_formation,formation_flex,nailed_starters,rotation_risk_players,protected_players,r1_minutes_load,congestion_note,confidence,source,last_verified
Egypt,4-2-3-1,,Mostafa Ahmed Shobeir|Mohamed Hany|Yasser Ibrahim|Mohanad Lasheen|Marwan Ateya|Omar Marmoush,,Ahmed Abou El Fotouh|Marwan Ateya,939,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
England,4-2-3-1,,Jordan Pickford|Reece James|Ezri Konsa|Nico O'Reilly|Elliot Anderson|Harry Kane,,,923,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
France,4-2-3-1,,Mike Maignan|Jules Koundé|Dayot Upamecano|William Saliba|Theo Hernández|Aurélien Tchouaméni|Adrien Rabiot|Michael Olise|Kylian Mbappé,,,977,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Germany,4-2-3-1,,Manuel Neuer|Nico Schlotterbeck|Aleksandar Pavlovic|Leroy Sané|Florian Wirtz|Kai Havertz,Jamal Musiala,,906,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Ghana,4-4-1-1,,Marvin Senaya|Jonas Adjetey|Jerome Opoku|Gideon Mensah|Caleb Yirenkyi|Antoine Semenyo,Lawrence Ati-Zigi|Ernest Nuamah|Kamaldeen Sulemana,Caleb Yirenkyi,866,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Haiti,4-4-2,,Johny Placide|Carlens Arcus|Ricardo Adé|Hannes Delcroix|Martin Expérience|Danley Jean Jacques|Jean-Ricner Bellegarde|Frantzdy Pierrot,Don Deedson Louicius,Jean-Ricner Bellegarde,942,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Iran,4-4-2,,Alireza Beiranvand|Ramin Rezaeian|Shoja Khalilzadeh|Ali Nemati|Milad Mohammadi|Mohammad Mohebi|Saeid Ezatolahi,Saman Ghoddos|Aria Yousefi|Shahriar Moghanlou,Ehsan Haji Safi,873,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Iraq,4-4-2,,Jalal Hassan|Zaid Tahseen|Akam Hashem|Merchas Doski|Amir Al-Ammari|Ayman Hussein,Zaid Ismael|Ali Al Hamadi,Zaid Tahseen,882,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Ivory Coast,4-4-2,,Yahia Fofana|Wilfried Singo|Emmanuel Agbadou|Ghislain Konan|Yan Diomande|Franck Kessié,Bazoumana Touré|Elye Wahi,Guéla Doué|Franck Kessié|Seko Fofana,895,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Japan,3-4-2-1,,Zion Suzuki|Shogo Taniguchi|Hiroki Ito|Kaishu Sano|Daichi Kamada|Keito Nakamura,Daizen Maeda,,915,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Jordan,5-4-1,,Yazeed Yazeed Abulaila|Yazan Abu Al-Arab|Mohannad Abu Taha|Nizar Al Rashdan|Noor Al-Rawabdeh|Ali Iyad Olwan,,,951,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
