match_date,group,team,opponent,player,position,minutes,goals,assists,shots,xg,xa,key_passes,rating,big_chances,source,source_url,quality_flag
2026-06-12,A,South Korea,Czechia,Jin-Gyu KIM,MF,6,0,0,1,0.06,,0,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Matej KOVÁR,GK,90,0,0,,,,,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Stepán CHALOUPEK,DF,90,0,0,,,,0,5.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Robin HRANÁC,DF,90,0,0,,,,0,5.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Ladislav KREJCÍ,DF,90,1,0,1,0.21,,0,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Vladimír COUFAL,DF,90,0,1,,,0.08,1,6.9,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Tomás SOUCEK,MF,90,0,0,1,0.28,0.01,0,6.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Alexandr SOJKA,MF,84,0,0,,,0.17,1,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Jaroslav ZELENY,DF,90,0,0,,,0.04,0,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Lukás PROVOD,MF,64,0,0,,,0.01,0,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Pavel SULC,FW,64,0,0,1,0.01,0.01,0,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Patrik SCHICK,FW,64,0,0,,,,0,5.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
