player,nation_raw,position,club,league,age,born,season,matches_played,starts,minutes,nineties,goals,assists,xg,npxg,xag,npxg_xag,progressive_carries,progressive_passes,progressive_receives,xg_per90,xag_per90,npxg_per90,source,source_url,last_verified
Aurele Amenda,chSUI,DF,Eint Frankfurt,Bundesliga,21-270,2003,2024-25,7,1,88,1.0,0,0,0.0,0.0,0.3,0.3,1,2,1,0.25,0.25,0.25,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Kelvin Amian,frFRA,DF,Nantes,Ligue 1,27-078,1998,2024-25,26,20,1928,21.4,1,0,0.9,0.9,0.8,1.7,28,64,63,0.04,0.08,0.08,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Michael Amir Murillo,paPAN,DF,Marseille,Ligue 1,29-075,1996,2024-25,26,23,2077,23.1,1,3,1.5,1.5,3.3,4.7,42,123,83,0.14,0.2,0.2,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Nadiem Amiri,deGER,MF,Mainz 05,Bundesliga,28-182,1996,2024-25,27,27,2205,24.5,6,4,4.6,3.1,6.0,9.0,46,185,57,0.24,0.43,0.37,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,gPremier League,18-283,2006,2024-25,2,0,28,0.3,0,0,0.0,0.0,0.1,0.1,1,0,3,0.22,0.29,0.29,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Samuel Amo-Ameyaw,engENG,"FW,DF",Strasbourg,Ligue 1,18-283,2006,2024-25,6,2,208,2.3,2,0,0.6,0.6,0.3,1.0,10,6,12,0.15,0.42,0.42,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mathis Amougou,frFRA,MF,Chelsea,gPremier League,19-099,2006,2024-25,1,0,8,0.1,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mathis Amougou,frFRA,MF,Saint-Étienne,Ligue 1,19-099,2006,2024-25,17,9,859,9.5,0,0,0.5,0.5,0.4,0.8,8,36,17,0.04,0.09,0.09,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mohamed Amoura,dzALG,FW,Wolfsburg,Bundesliga,24-353,2000,2024-25,28,27,2269,25.2,10,8,8.4,6.8,3.6,10.4,75,56,230,0.14,0.47,0.41,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Sofyan Amrabat,maMAR,MF,Fiorentina,Serie A,28-249,1996,2024-25,2,2,180,2.0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.03,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Joachim Andersen,dkDEN,DF,Crystal Palace,gPremier League,28-331,1996,2024-25,1,1,90,1.0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Joachim Andersen,dkDEN,DF,Fulham,gPremier League,28-331,1996,2024-25,25,25,2223,24.7,0,0,0.9,0.9,0.3,1.3,13,103,2,0.01,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Elliot Anderson,engENG,MF,Nott'ham Forest,gPremier League,22-172,2002,2024-25,32,28,2317,25.7,2,6,1.7,1.7,3.1,4.8,37,115,78,0.12,0.19,0.19,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
André,brBRA,MF,Wolves,gPremier League,23-285,2001,2024-25,29,27,2170,24.1,0,0,0.4,0.4,0.7,1.0,8,92,11,0.03,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Benjamin André,frFRA,MF,Lille,Ligue 1,34-267,1990,2024-25,27,27,2422,26.9,0,3,1.3,1.3,1.8,3.2,25,185,61,0.07,0.12,0.12,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Marcos André,brBRA,FW,Valladolid,La Liga,28-189,1996,2024-25,21,14,1179,13.1,1,2,2.7,2.7,0.8,3.5,11,16,39,0.06,0.27,0.27,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Robert Andrich,deGER,"MF,DF",Leverkusen,Bundesliga,30-217,1994,2024-25,21,18,1488,16.5,2,2,1.3,1.3,0.3,1.5,7,63,16,0.02,0.09,0.09,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Angeliño,esESP,DF,Roma,Serie A,28-113,1997,2024-25,33,31,2727,30.3,2,1,1.1,1.1,2.6,3.8,50,150,138,0.09,0.12,0.12,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Lorenzo Anghelè,itITA,FW,Juventus,Serie A,20-060,2005,2024-25,1,0,6,0.1,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Faustino Anjorin,engENG,MF,Empoli,Serie A,23-155,2001,2024-25,18,13,997,11.1,1,3,0.8,0.8,1.6,2.4,27,50,30,0.15,0.22,0.22,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Waldemar Anton,deGER,DF,Dortmund,Bundesliga,28-281,1996,2024-25,23,19,1679,18.7,2,2,1.7,1.7,0.8,2.5,31,107,28,0.04,0.13,0.13,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Leandro Antonetti,prPUR,FW,Sevilla,La Liga,22-104,2003,2024-25,1,0,11,0.1,0,0,0.0,0.0,0.0,0.0,0,0,1,0.22,0.22,0.22,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Kyllian Antonio,frFRA,"DF,MF",Lens,Ligue 1,17-113,2008,2024-25,3,2,139,1.5,0,0,0.1,0.1,0.0,0.1,1,0,0,0.0,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Michail Antonio,jmJAM,FW,West Ham,gPremier League,35-030,1990,2024-25,14,11,836,9.3,1,1,2.2,2.2,1.6,3.8,29,18,59,0.17,0.41,0.41,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Antoniu,esESP,"MF,FW",Espanyol,La Liga,22-234,2002,2024-25,21,9,742,8.2,0,1,0.9,0.9,1.1,1.9,28,21,43,0.13,0.24,0.24,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Antony,brBRA,"DF,MF",Manchester Utd,gPremier League,25-062,2000,2024-25,8,0,141,1.6,0,0,1.0,1.0,0.1,1.1,5,6,7,0.08,0.73,0.73,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Antony,brBRA,FW,Betis,La Liga,25-062,2000,2024-25,12,12,1012,11.2,3,2,2.5,2.5,3.1,5.6,72,46,121,0.27,0.5,0.5,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Anuar,maMAR,"MF,FW",Valladolid,La Liga,30-102,1995,2024-25,21,17,1433,15.9,2,0,1.5,1.5,0.5,2.0,21,22,54,0.03,0.13,0.13,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
