option,advancing_groups,eliminated_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
136,BCDEGJKL,AFHI,3E,3G,3B,3C,3J,3D,3L,3K
137,BCDEGIKL,AFHJ,3E,3G,3B,3C,3I,3D,3L,3K
138,BCDEGIJL,AFHK,3E,3G,3B,3C,3J,3D,3L,3I
139,BCDEGIJK,AFHL,3E,3G,3B,3C,3J,3D,3I,3K
140,BCDEGHKL,AFIJ,3E,3G,3B,3C,3H,3D,3L,3K
141,BCDEGHJL,AFIK,3H,3G,3B,3C,3J,3D,3L,3E
142,BCDEGHJK,AFIL,3H,3G,3B,3C,3J,3D,3E,3K
143,BCDEGHIL,AFJK,3E,3G,3B,3C,3H,3D,3L,3I
144,BCDEGHIK,AFJL,3E,3G,3B,3C,3H,3D,3I,3K
145,BCDEGHIJ,AFKL,3H,3G,3B,3C,3J,3D,3E,3I
146,BCDEFJKL,AGHI,3C,3J,3B,3D,3E,3F,3L,3K
147,BCDEFIKL,AGHJ,3C,3E,3B,3D,3I,3F,3L,3K
148,BCDEFIJL,AGHK,3C,3J,3B,3D,3E,3F,3L,3I
149,BCDEFIJK,AGHL,3C,3J,3B,3D,3E,3F,3I,3K
150,BCDEFHKL,AGIJ,3C,3E,3B,3D,3H,3F,3L,3K
151,BCDEFHJL,AGIK,3C,3J,3B,3D,3H,3F,3L,3E
152,BCDEFHJK,AGIL,3C,3J,3B,3D,3H,3F,3E,3K
153,BCDEFHIL,AGJK,3C,3E,3B,3D,3H,3F,3L,3I
154,BCDEFHIK,AGJL,3C,3E,3B,3D,3H,3F,3I,3K
155,BCDEFHIJ,AGKL,3C,3J,3B,3D,3H,3F,3E,3I
156,BCDEFGKL,AHIJ,3C,3G,3B,3D,3E,3F,3L,3K
157,BCDEFGJL,AHIK,3C,3G,3B,3D,3J,3F,3L,3E
158,BCDEFGJK,AHIL,3C,3G,3B,3D,3J,3F,3E,3K
159,BCDEFGIL,AHJK,3C,3G,3B,3D,3E,3F,3L,3I
160,BCDEFGIK,AHJL,3C,3G,3B,3D,3E,3F,3I,3K
161,BCDEFGIJ,AHKL,3C,3G,3B,3D,3J,3F,3E,3I
162,BCDEFGHL,AIJK,3C,3G,3B,3D,3H,3F,3L,3E
163,BCDEFGHK,AIJL,3C,3G,3B,3D,3H,3F,3E,3K
164,BCDEFGHJ,AIKL,3H,3G,3B,3C,3J,3F,3D,3E
165,BCDEFGHI,AJKL,3C,3G,3B,3D,3H,3F,3E,3I
166,AFGHIJKL,BCDE,3H,3J,3I,3F,3A,3G,3L,3K
167,AEGHIJKL,BCDF,3E,3J,3I,3A,3H,3G,3L,3K
168,AEFHIJKL,BCDG,3E,3J,3I,3F,3A,3H,3L,3K
169,AEFGIJKL,BCDH,3E,3J,3I,3F,3A,3G,3L,3K
170,AEFGHJKL,BCDI,3E,3G,3J,3F,3A,3H,3L,3K
171,AEFGHIKL,BCDJ,3E,3G,3I,3F,3A,3H,3L,3K
172,AEFGHIJL,BCDK,3E,3G,3J,3F,3A,3H,3L,3I
173,AEFGHIJK,BCDL,3E,3G,3J,3F,3A,3H,3I,3K
174,ADGHIJKL,BCEF,3H,3J,3I,3D,3A,3G,3L,3K
175,ADFHIJKL,BCEG,3H,3J,3I,3D,3A,3F,3L,3K
176,ADFGIJKL,BCEH,3I,3G,3J,3D,3A,3F,3L,3K
177,ADFGHJKL,BCEI,3H,3G,3J,3D,3A,3F,3L,3K
178,ADFGHIKL,BCEJ,3H,3G,3I,3D,3A,3F,3L,3K
179,ADFGHIJL,BCEK,3H,3G,3J,3D,3A,3F,3L,3I
180,ADFGHIJK,BCEL,3H,3G,3J,3D,3A,3F,3I,3K
181,ADEHIJKL,BCFG,3E,3J,3I,3D,3A,3H,3L,3K
182,ADEGIJKL,BCFH,3E,3J,3I,3D,3A,3G,3L,3K
183,ADEGHJKL,BCFI,3E,3G,3J,3D,3A,3H,3L,3K
184,ADEGHIKL,BCFJ,3E,3G,3I,3D,3A,3H,3L,3K
185,ADEGHIJL,BCFK,3E,3G,3J,3D,3A,3H,3L,3I
186,ADEGHIJK,BCFL,3E,3G,3J,3D,3A,3H,3I,3K
187,ADEFIJKL,BCGH,3E,3J,3I,3D,3A,3F,3L,3K
188,ADEFHJKL,BCGI,3H,3J,3E,3D,3A,3F,3L,3K
189,ADEFHIKL,BCGJ,3H,3E,3I,3D,3A,3F,3L,3K
190,ADEFHIJL,BCGK,3H,3J,3E,3D,3A,3F,3L,3I
191,ADEFHIJK,BCGL,3H,3J,3E,3D,3A,3F,3I,3K
192,ADEFGJKL,BCHI,3E,3G,3J,3D,3A,3F,3L,3K
193,ADEFGIKL,BCHJ,3E,3G,3I,3D,3A,3F,3L,3K
194,ADEFGIJL,BCHK,3E,3G,3J,3D,3A,3F,3L,3I
195,ADEFGIJK,BCHL,3E,3G,3J,3D,3A,3F,3I,3K
196,ADEFGHKL,BCIJ,3H,3G,3E,3D,3A,3F,3L,3K
197,ADEFGHJL,BCIK,3H,3G,3J,3D,3A,3F,3L,3E
198,ADEFGHJK,BCIL,3H,3G,3J,3D,3A,3F,3E,3K
199,ADEFGHIL,BCJK,3H,3G,3E,3D,3A,3F,3L,3I
200,ADEFGHIK,BCJL,3H,3G,3E,3D,3A,3F,3I,3K
201,ADEFGHIJ,BCKL,3H,3G,3J,3D,3A,3F,3E,3I
202,ACGHIJKL,BDEF,3H,3J,3I,3C,3A,3G,3L,3K
203,ACFHIJKL,BDEG,3H,3J,3I,3C,3A,3F,3L,3K
204,ACFGIJKL,BDEH,3I,3G,3J,3C,3A,3F,3L,3K
205,ACFGHJKL,BDEI,3H,3G,3J,3C,3A,3F,3L,3K
206,ACFGHIKL,BDEJ,3H,3G,3I,3C,3A,3F,3L,3K
207,ACFGHIJL,BDEK,3H,3G,3J,3C,3A,3F,3L,3I
208,ACFGHIJK,BDEL,3H,3G,3J,3C,3A,3F,3I,3K
209,ACEHIJKL,BDFG,3E,3J,3I,3C,3A,3H,3L,3K
210,ACEGIJKL,BDFH,3E,3J,3I,3C,3A,3G,3L,3K
211,ACEGHJKL,BDFI,3E,3G,3J,3C,3A,3H,3L,3K
212,ACEGHIKL,BDFJ,3E,3G,3I,3C,3A,3H,3L,3K
213,ACEGHIJL,BDFK,3E,3G,3J,3C,3A,3H,3L,3I
214,ACEGHIJK,BDFL,3E,3G,3J,3C,3A,3H,3I,3K
215,ACEFIJKL,BDGH,3E,3J,3I,3C,3A,3F,3L,3K
216,ACEFHJKL,BDGI,3H,3J,3E,3C,3A,3F,3L,3K
217,ACEFHIKL,BDGJ,3H,3E,3I,3C,3A,3F,3L,3K
