match_id,group,round,home,away,home_points,away_points,home_rank,away_rank,home_goal_difference,away_goal_difference,home_draw_acceptance,away_draw_acceptance,mutual_draw_acceptance,home_must_win_pressure,away_must_win_pressure,home_top_spot_incentive,away_top_spot_incentive,home_controlled_win_incentive,away_controlled_win_incentive,late_draw_control_index,late_chase_suppression,first_place_slot,second_place_slot,third_place_candidate_slots,bracket_path_known,context_quality,context_reason,last_updated
WC2026-I41,I,2,Norway,Senegal,3,0,1,3,3,-2,0.3800,0.1000,0.1000,0.0000,0.9000,0.6800,0.0000,0.5520,0.0000,0.0505,0.0227,1I,2I,3I candidate for 1A; 3I candidate for 1B; 3I candidate for 1D; 3I candidate for 1G,true,A,R2 Norway(3pts) vs Senegal(0pts); top spot path incentive exists.,2026-06-19
WC2026-I42,I,2,France,Iraq,3,0,2,4,2,-3,0.3800,0.1000,0.1000,0.0000,0.9000,0.5300,0.0000,0.4470,0.0000,0.0505,0.0227,1I,2I,3I candidate for 1A; 3I candidate for 1B; 3I candidate for 1D; 3I candidate for 1G,true,A,R2 France(3pts) vs Iraq(0pts); top spot path incentive exists.,2026-06-19
WC2026-J43,J,2,Argentina,Austria,3,3,1,2,3,2,0.8200,0.8200,0.8200,0.0000,0.0000,0.6800,0.5300,0.6400,0.5350,0.8200,0.3690,1J,2J,3J candidate for 1B; 3J candidate for 1D; 3J candidate for 1G; 3J candidate for 1K,true,A,R2 group leaders both on 3/3 pts; draw protects qualification margin; top spot path incentive exists.,2026-06-19
WC2026-J44,J,2,Jordan,Algeria,0,0,3,4,-2,-3,0.1000,0.1000,0.1000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0505,0.0227,1J,2J,3J candidate for 1B; 3J candidate for 1D; 3J candidate for 1G; 3J candidate for 1K,true,A,R2 Jordan vs Algeria: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-L45,L,2,England,Ghana,3,3,1,2,2,1,0.8200,0.8200,0.8200,0.0000,0.0000,0.6800,0.4500,0.6400,0.4790,0.8200,0.3690,1L,2L,3L candidate for 1K,true,A,R2 group leaders both on 3/3 pts; draw protects qualification margin; top spot path incentive exists.,2026-06-19
WC2026-L46,L,2,Panama,Croatia,0,0,3,4,-1,-2,0.1000,0.1000,0.1000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0505,0.0227,1L,2L,3L candidate for 1K,true,A,R2 Panama vs Croatia: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-K47,K,2,Portugal,Uzbekistan,1,0,1,3,0,0,0.4800,0.1000,0.1000,0.0000,0.9000,0.1500,0.0000,0.2010,0.0000,0.0505,0.0227,1K,2K,3K candidate for 1L,true,B,R2 Portugal(1pts) vs Uzbekistan(0pts).,2026-06-19
WC2026-K48,K,2,Colombia,DR Congo,0,1,4,2,0,0,0.1000,0.4800,0.1000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0960,0.0505,0.0227,1K,2K,3K candidate for 1L,true,B,R2 Colombia(0pts) vs DR Congo(1pts).,2026-06-19
WC2026-C49,C,3,Scotland,Brazil,3,1,1,2,1,0,0.5800,0.1800,0.1800,0.0000,0.8000,0.6000,0.0000,0.5360,0.0000,0.1008,0.0454,1C,2C,3C candidate for 1A; 3C candidate for 1E; 3C candidate for 1I,true,B,R3 Scotland(3pts) vs Brazil(1pts); top spot path incentive exists.,2026-06-19
WC2026-C50,C,3,Morocco,Haiti,1,0,3,4,0,-1,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1C,2C,3C candidate for 1A; 3C candidate for 1E; 3C candidate for 1I,true,B,R3 Morocco vs Haiti: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-B51,B,3,Switzerland,Canada,4,4,2,1,3,6,0.7600,0.7600,0.7600,0.0000,0.0000,0.5300,0.8000,0.5230,0.7120,0.7600,0.3420,1B,2B,3B candidate for 1D; 3B candidate for 1E,true,A,R3 group leaders both on 4/4 pts; draw protects qualification margin; top spot path incentive exists.,2026-06-19
WC2026-B52,B,3,Bosnia and Herzegovina,Qatar,1,1,3,4,-3,-6,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1B,2B,3B candidate for 1D; 3B candidate for 1E,true,A,R3 Bosnia and Herzegovina vs Qatar: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-A53,A,3,Czechia,Mexico,1,6,3,1,-1,3,0.1800,0.7600,0.1800,0.8000,0.0000,0.0000,0.8000,0.0000,0.7120,0.1008,0.0454,1A,2A,3A candidate for 1E; 3A candidate for 1G,true,A,R3 Czechia(1pts) vs Mexico(6pts).,2026-06-19
WC2026-A54,A,3,South Africa,South Korea,1,3,4,2,-2,0,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.4500,0.0000,0.4310,0.1008,0.0454,1A,2A,3A candidate for 1E; 3A candidate for 1G,true,A,R3 South Africa(1pts) vs South Korea(3pts).,2026-06-19
WC2026-E55,E,3,Curacao,Ivory Coast,0,3,4,2,-6,1,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.4500,0.0000,0.4310,0.1008,0.0454,1E,2E,3E candidate for 1A; 3E candidate for 1B; 3E candidate for 1D; 3E candidate for 1G,true,B,R3 Curacao(0pts) vs Ivory Coast(3pts).,2026-06-19
