internal_match_id,fifa_match_id,group,round,home_team,away_team,kickoff_utc,kickoff_local,kickoff_et,kickoff_time,source_url
WC2026-F36,36,F,2,Tunisia,Japan,2026-06-21T04:00:00Z,2026-06-20 22:00,2026-06-20 24:00,2026-06-20 22:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-H37,37,H,2,Uruguay,Cape Verde,2026-06-21T22:00:00Z,2026-06-21 18:00,2026-06-21 18:00,2026-06-21 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-H38,38,H,2,Spain,Saudi Arabia,2026-06-21T16:00:00Z,2026-06-21 12:00,2026-06-21 12:00,2026-06-21 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-G39,39,G,2,Belgium,Iran,2026-06-21T19:00:00Z,2026-06-21 12:00,2026-06-21 15:00,2026-06-21 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-G40,40,G,2,New Zealand,Egypt,2026-06-22T01:00:00Z,2026-06-21 18:00,2026-06-21 21:00,2026-06-21 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-I41,41,I,2,Norway,Senegal,2026-06-23T00:00:00Z,2026-06-22 20:00,2026-06-22 20:00,2026-06-22 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-I42,42,I,2,France,Iraq,2026-06-22T21:00:00Z,2026-06-22 17:00,2026-06-22 17:00,2026-06-22 17:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-J43,43,J,2,Argentina,Austria,2026-06-22T17:00:00Z,2026-06-22 12:00,2026-06-22 13:00,2026-06-22 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-J44,44,J,2,Jordan,Algeria,2026-06-23T03:00:00Z,2026-06-22 20:00,2026-06-22 23:00,2026-06-22 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-L45,45,L,2,England,Ghana,2026-06-23T20:00:00Z,2026-06-23 16:00,2026-06-23 16:00,2026-06-23 16:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-L46,46,L,2,Panama,Croatia,2026-06-23T23:00:00Z,2026-06-23 19:00,2026-06-23 19:00,2026-06-23 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-K47,47,K,2,Portugal,Uzbekistan,2026-06-23T17:00:00Z,2026-06-23 12:00,2026-06-23 13:00,2026-06-23 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-K48,48,K,2,Colombia,DR Congo,2026-06-24T02:00:00Z,2026-06-23 20:00,2026-06-23 22:00,2026-06-23 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-C49,49,C,3,Scotland,Brazil,2026-06-24T22:00:00Z,2026-06-24 18:00,2026-06-24 18:00,2026-06-24 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-C50,50,C,3,Morocco,Haiti,2026-06-24T22:00:00Z,2026-06-24 18:00,2026-06-24 18:00,2026-06-24 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
