match_id,home_team,away_team,group_pressure_home,group_pressure_away,pressure_type_home,pressure_type_away,state_reason_code_home,state_reason_code_away,runtime_incentive_used,home_route_preference_label,away_route_preference_label,home_first_place_utility,away_first_place_utility,home_second_place_utility,away_second_place_utility,home_draw_acceptance_modifier,away_draw_acceptance_modifier,home_late_push_modifier,away_late_push_modifier,home_rotation_modifier,away_rotation_modifier,draw_utility_home,draw_utility_away,attack_conversion_home,attack_conversion_away,must_win_no_convert_home,must_win_no_convert_away,early_goal_cascade_index,cascade_tail_active,favorite,underdog,cold_draw_guard_score,cold_guard_active,deep_handicap_contra_flag,data_quality_score,data_quality_grade,active_flags
WC2026-G40,New Zealand,Egypt,0.2714,0.2687,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.476,0.476,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.355,0.324,false,false,0.4136,false,Egypt,New Zealand,0.5402,false,false,0.5,degraded,
WC2026-I41,Norway,Senegal,0.3132,0.4982,prefer_win,must_win,CONTROL_DESTINY,R2_ZERO_POINTS_SURVIVAL,true,route_avoidance_blocked_by_qualification_need,must_chase_first,0.371,0.371,0.396,0.396,0.0,0.0,0.0,0.06,0.0,0.0,0.3,0.1,0.4218,0.3574,false,true,0.4548,false,Senegal,Norway,0.5335,false,false,0.65,low,must_win_no_convert_away
WC2026-I42,France,Iraq,0.2147,0.5963,low_pressure,must_win,R2_THREE_POINTS_DRAW_TO_FOUR,R2_ZERO_POINTS_SURVIVAL,true,route_avoidance_blocked_by_qualification_need,must_chase_first,0.371,0.371,0.396,0.396,0.0,0.0,0.0,0.06,0.0,0.0,0.45,0.1,0.391,0.3499,false,true,0.499,false,France,Iraq,0.6668,true,true,0.65,low,must_win_no_convert_away;cold_guard_active;deep_handicap_contra
WC2026-J43,Argentina,Austria,0.346,0.2128,prefer_win,low_pressure,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.5,0.5,0.438,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45,0.3672,0.385,false,false,0.448,false,Argentina,Austria,0.5391,false,false,0.65,low,
WC2026-J44,Jordan,Algeria,0.5262,0.5932,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.5,0.5,0.438,0.438,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.3286,0.2272,true,true,0.4894,false,Algeria,Jordan,0.5496,false,false,0.65,low,must_win_no_convert_home;must_win_no_convert_away
WC2026-L45,England,Ghana,0.3455,0.2121,prefer_win,low_pressure,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.432,0.432,0.426,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45,0.3821,0.3572,false,false,0.4875,false,England,Ghana,0.5361,false,false,0.5,degraded,
WC2026-L46,Panama,Croatia,0.5234,0.5365,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.432,0.432,0.426,0.426,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.2411,0.3483,true,true,0.4687,false,Croatia,Panama,0.5253,false,false,0.5,degraded,must_win_no_convert_home;must_win_no_convert_away
WC2026-K47,Portugal,Uzbekistan,0.4835,0.527,must_win,must_win,MUST_WIN_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.473,0.473,0.342,0.342,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.3521,0.3618,true,true,0.5009,false,Portugal,Uzbekistan,0.5246,false,false,0.5,degraded,must_win_no_convert_home;must_win_no_convert_away
WC2026-K48,Colombia,DR Congo,0.314,0.4668,prefer_win,must_win,CONTROL_DESTINY,MUST_WIN_SURVIVAL,true,neutral_route,must_chase_first,0.473,0.473,0.342,0.342,0.0,0.0,0.0,0.06,0.0,0.0,0.3,0.1,0.3637,0.3555,false,true,0.4815,false,Colombia,DR Congo,0.5223,false,false,0.5,degraded,must_win_no_convert_away
WC2026-C49,Scotland,Brazil,0.2612,0.1802,low_pressure,draw_ok,R3_BEST_THIRD_GD_CHASE,FOUR_POINTS_NOT_CLINCHED,false,,,,,,,,,,,,,0.25,0.55,0.3066,0.3861,false,false,0.4204,false,Brazil,Scotland,0.5499,false,false,0.6,low,
WC2026-C50,Morocco,Haiti,0.1095,0.2725,draw_ok,low_pressure,FOUR_POINTS_NOT_CLINCHED,ELIMINATED_ALL_SCENARIOS,false,,,,,,,,,,,,,0.55,0.3,0.2999,0.258,false,false,0.4262,false,Morocco,Haiti,0.6268,true,false,0.6,low,cold_guard_active
WC2026-B51,Switzerland,Canada,0,0,draw_ok,draw_ok,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.75,0.75,0.3525,0.3716,false,false,0.3902,false,Switzerland,Canada,0.557,false,false,0.5,degraded,
