match_id,favorite,underdog,deep_handicap_flag,underdog_low_block_score,keeper_save_proxy,sot_faced_proxy,favorite_shot_quality,favorite_cross_dependency,cold_draw_guard_score,deep_handicap_contra_flag,cold_guard_active
WC2026-H38,Spain,Saudi Arabia,true,0.7,0.7,,0.2372,0.5,0.7076,true,true
WC2026-G39,Belgium,Iran,false,0.7,0.7,,0.3139,0.5,0.5422,false,false
WC2026-G40,Egypt,New Zealand,false,0.7,0.7,,0.324,0.5,0.5402,false,false
WC2026-I41,Senegal,Norway,false,0.7,0.7,,0.3574,0.5,0.5335,false,false
WC2026-I42,France,Iraq,true,0.7,0.7,,0.391,0.5,0.6668,true,true
WC2026-J43,Argentina,Austria,false,0.7,0.7,,0.3672,0.5,0.5391,false,false
WC2026-J44,Algeria,Jordan,false,0.7,0.7,,0.2272,0.5,0.5496,false,false
WC2026-L45,England,Ghana,false,0.7,0.7,,0.3821,0.5,0.5361,false,false
WC2026-L46,Croatia,Panama,false,0.7,0.7,,0.3483,0.5,0.5253,false,false
WC2026-K47,Portugal,Uzbekistan,false,0.7,0.7,,0.3521,0.5,0.5246,false,false
WC2026-K48,Colombia,DR Congo,false,0.7,0.7,,0.3637,0.5,0.5223,false,false
WC2026-C49,Brazil,Scotland,false,0.7909,0.7095,,0.3861,0.5,0.5499,false,false
WC2026-C50,Morocco,Haiti,false,1,0.7337,,0.2999,0.5,0.6268,false,true
WC2026-B51,Switzerland,Canada,false,0.7,0.7,,0.3525,0.5,0.557,false,false
WC2026-B52,Bosnia and Herzegovina,Qatar,false,0.7,0.7,,0.3581,0.5,0.5234,false,false
WC2026-A53,Czechia,Mexico,false,0.7,0.7,,0.3478,0.5,0.5579,false,false
WC2026-A54,South Korea,South Africa,false,0.7,0.7,,0.325,0.5,0.53,false,false
WC2026-E55,Ivory Coast,Curacao,false,0.7,0.7,,0.354,0.5,0.5242,false,false
WC2026-E56,Germany,Ecuador,false,0.7,0.7,,0.3879,0.5,0.5174,false,false
WC2026-F57,Japan,Sweden,false,0.7,0.7,,0.3276,0.5,0.537,false,false
WC2026-F58,Netherlands,Tunisia,false,0.7,0.7,,0.3381,0.5,0.5374,false,false
WC2026-D59,Turkey,USA,false,0.7,0.7,,0.3402,0.5,0.5595,false,false
WC2026-D60,Paraguay,Australia,false,0.4,0.6116,,0.2806,0.5,0.4637,false,false
WC2026-I61,France,Norway,false,0.7,0.7,,0.391,0.5,0.5493,false,false
WC2026-I62,Senegal,Iraq,false,0.7,0.7,,0.3574,0.5,0.5235,false,false
WC2026-G63,Iran,Egypt,false,0.7,0.7,,0.3525,0.5,0.5345,false,false
WC2026-G64,Belgium,New Zealand,false,0.7,0.7,,0.3139,0.5,0.5422,false,false
WC2026-H65,Saudi Arabia,Cape Verde,false,0.7,0.7,,0.3604,0.5,0.5329,false,false
WC2026-H66,Spain,Uruguay,false,0.7,0.7,,0.2372,0.5,0.5576,false,false
WC2026-L67,England,Panama,false,0.7,0.7,,0.3821,0.5,0.5186,false,false
WC2026-L68,Croatia,Ghana,false,0.7,0.7,,0.3483,0.5,0.5578,false,false
WC2026-J69,Austria,Algeria,false,0.7,0.7,,0.385,0.5,0.518,false,false
WC2026-J70,Argentina,Jordan,false,0.7,0.7,,0.3672,0.5,0.5216,false,false
WC2026-K71,Portugal,Colombia,false,0.7,0.7,,0.3521,0.5,0.5346,false,false
WC2026-K72,DR Congo,Uzbekistan,false,0.7,0.7,,0.3555,0.5,0.5239,false,false
