match_id,team,opponent,break_low_block_score,chance_quality_score,xg_per_shot,shot_on_target_rate,big_chances_per_90,set_piece_threat,central_target_presence,wide_cross_dependency,opponent_low_block_score,opponent_keeper_proxy,attack_conversion_gate,must_win_no_convert_flag
WC2026-F36,Tunisia,Japan,0.5,0.0933,0.0933,0.35,0,0.5,0.45,0.5,0.7,0.6422,0.3284,true
WC2026-F36,Japan,Tunisia,0.5,0.118,0.118,0.35,0,0.5,0.45,0.5,0.7,0.7385,0.331,true
WC2026-H37,Uruguay,Cape Verde,0.5,0.1274,0.1274,0.35,2,0.5,0.45,0.5,0.7,0.7595,0.2812,false
WC2026-H37,Cape Verde,Uruguay,0.5,0.0667,0.0667,0.35,1,0.5,0.45,0.5,0.7,0.525,0.2263,false
WC2026-H38,Spain,Saudi Arabia,0.5,0.1556,0.1556,0.35,2,0.5,0.45,0.5,0.7,0.84,0.2372,false
WC2026-H38,Saudi Arabia,Spain,0.5,0.1886,0.1886,0.35,1,0.5,0.45,0.5,0.7,0.574,0.3604,false
WC2026-G39,Belgium,Iran,0.5,0.18,0.18,0.35,2,0.5,0.45,0.5,0.7,0.686,0.3139,false
WC2026-G39,Iran,Belgium,0.5,0.1765,0.1765,0.35,2,0.5,0.45,0.5,0.7,0.658,0.3525,false
WC2026-G40,New Zealand,Egypt,0.5,0.1771,0.1771,0.35,2,0.5,0.45,0.5,0.7,0.6125,0.355,false
WC2026-G40,Egypt,New Zealand,0.5,0.1543,0.1543,0.35,2,0.5,0.45,0.5,0.7,0.6388,0.324,false
WC2026-I41,Norway,Senegal,0.5,0.42,0.42,0.35,5,0.5,0.45,0.5,0.7,0.735,0.4218,false
WC2026-I41,Senegal,Norway,0.5,0.1767,0.1767,0.35,2,0.5,0.45,0.5,0.7,0.5617,0.3574,true
WC2026-I42,France,Iraq,0.5,0.3255,0.3255,0.35,4,0.5,0.45,0.5,0.7,0.7823,0.391,false
WC2026-I42,Iraq,France,0.5,0.1455,0.1455,0.35,1,0.5,0.45,0.5,0.7,0.525,0.3499,true
WC2026-J43,Argentina,Austria,0.5,0.252,0.252,0.35,1,0.5,0.45,0.5,0.7,0.819,0.3672,false
WC2026-J43,Austria,Argentina,0.5,0.3073,0.3073,0.35,4,0.5,0.45,0.5,0.7,0.7945,0.385,false
WC2026-J44,Jordan,Algeria,0.5,0.0836,0.0836,0.35,0,0.5,0.45,0.5,0.7,0.5793,0.3286,true
WC2026-J44,Algeria,Jordan,0.5,0.0914,0.0914,0.35,0,0.5,0.45,0.5,0.7,0.6545,0.2272,true
WC2026-L45,England,Ghana,0.5,0.2909,0.2909,0.35,7,0.5,0.45,0.5,0.7,0.7525,0.3821,false
WC2026-L45,Ghana,England,0.5,0.3275,0.3275,0.35,1,0.5,0.45,0.5,0.7,0.7438,0.3572,false
WC2026-L46,Panama,Croatia,0.5,0.1364,0.1364,0.35,2,0.5,0.45,0.5,0.7,0.6458,0.2411,true
WC2026-L46,Croatia,Panama,0.5,0.14,0.14,0.35,2,0.5,0.45,0.5,0.7,0.525,0.3483,true
WC2026-K47,Portugal,Uzbekistan,0.5,0.1857,0.1857,0.35,0,0.5,0.45,0.5,0.7,0.7228,0.3521,true
WC2026-K47,Uzbekistan,Portugal,0.5,0.29,0.29,0.35,4,0.5,0.45,0.5,0.7,0.5915,0.3618,true
WC2026-K48,Colombia,DR Congo,0.5,0.216,0.216,0.35,1,0.5,0.45,0.5,0.7,0.672,0.3637,false
WC2026-K48,DR Congo,Colombia,0.5,0.2175,0.2175,0.35,1,0.5,0.45,0.5,0.7,0.7612,0.3555,true
WC2026-C49,Scotland,Brazil,0.4195,0.208,0.208,0.3493,1,0.5,0.45,0.5,0.4597,0.6715,0.3066,false
WC2026-C49,Brazil,Scotland,0.5201,0.301,0.301,0.35,0.5,0.5,0.45,0.5,0.7909,0.7445,0.3861,false
WC2026-C50,Morocco,Haiti,0.4799,0.1815,0.1815,0.35,1,0.5,0.45,0.5,1,0.7538,0.2999,false
WC2026-C50,Haiti,Morocco,0.5805,0.1164,0.1164,0.35,0.5,0.5,0.45,0.5,0.6644,0.6263,0.258,false
WC2026-B51,Switzerland,Canada,0.5,0.2697,0.2697,0.3497,5,0.5,0.45,0.5,0.7,0.8024,0.3525,false
WC2026-B51,Canada,Switzerland,0.5,0.2591,0.2591,0.3502,4,0.5,0.45,0.5,0.7,0.7718,0.3716,false
WC2026-B52,Bosnia and Herzegovina,Qatar,0.5,0.1831,0.1831,0.3492,1,0.5,0.45,0.5,0.7,0.5871,0.3581,true
WC2026-B52,Qatar,Bosnia and Herzegovina,0.5,0.205,0.205,0.35,0.5,0.5,0.45,0.5,0.7,0.525,0.3511,true
WC2026-A53,Czechia,Mexico,0.5,0.1762,0.1762,0.3495,2,0.5,0.45,0.5,0.7,0.553,0.3478,true
WC2026-A53,Mexico,Czechia,0.5,0.1617,0.1617,0.35,2,0.5,0.45,0.5,0.7,0.8085,0.3406,false
WC2026-A54,South Africa,South Korea,0.5,0.145,0.145,0.35,0.5,0.5,0.45,0.5,0.7,0.658,0.3006,true
WC2026-A54,South Korea,South Africa,0.5,0.2492,0.2492,0.35,3.5,0.5,0.45,0.5,0.7,0.7604,0.325,false
WC2026-E55,Curacao,Ivory Coast,0.5,0.1025,0.1025,0.35,0,0.5,0.45,0.5,0.7,0.525,0.3203,true
WC2026-E55,Ivory Coast,Curacao,0.5,0.2027,0.2027,0.3493,1,0.5,0.45,0.5,0.7,0.7866,0.354,false
WC2026-E56,Ecuador,Germany,0.5,0.1683,0.1683,0.35,0.5,0.5,0.45,0.5,0.7,0.742,0.2459,true
