team,period,matches,formation_base,pressing_height,build_up_style,attack_width,central_progression,transition_attack,set_piece_attack,set_piece_defense,low_block_quality,high_line_risk,rest_defense_quality,late_game_aggression,comeback_tendency,collapse_risk,chaos_index,break_low_block_score,defend_pressure_score,data_confidence,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
Norway,WC2026-R1,1,4-3-3,高位压迫,控球推进,-0.136924,0.472671,0,0,0.205983,0.411966,-0.255954,0.255954,0,0,0.090648,0.453241,0.214996,0.398065,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/iraq-vs-norway/1oz68o,true,0.76,2026-06-18,2026-06-20
Argentina,WC2026-R1,1,4-3-3,中位压迫,混合推进,-0.136924,-0.08594,0,0,0.513847,1.027695,-0.83469,0.83469,0,0,0.001262,0.006312,-0.079545,0.997154,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/algeria-vs-argentina/1ehtqa,true,0.76,2026-06-18,2026-06-20
Algeria,WC2026-R1,1,4-2-3-1,高位压迫,混合推进,-0.136924,0.08594,0,0,0.085715,0.17143,0.001534,-0.001534,0,0,0.022099,0.107042,0.011083,0.070372,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/algeria-vs-argentina/1ehtqa,true,0.76,2026-06-18,2026-06-20
Austria,WC2026-R1,1,4-2-3-1,高位压迫,控球推进,-0.136924,0.558611,0,0,0.321603,0.643205,-0.44515,0.44515,0,0,0.03933,0.196651,0.260309,0.663991,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/jordan-vs-austria/1my603,true,0.76,2026-06-18,2026-06-20
Jordan,WC2026-R1,1,5-3-2,低位/被动,直接打法,-0.136924,-0.558611,0,0,-0.096669,-0.193339,0.00824,-0.00824,0,0,0.099225,0.139244,-0.328771,-0.228718,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/jordan-vs-austria/1my603,true,0.76,2026-06-18,2026-06-20
Portugal,WC2026-R1,1,4-3-3,中位压迫,控球推进,-0.136924,1.074252,0,0,0.290656,0.581312,-0.47239,0.47239,0,0,0,0,0.532193,0.517562,0.76,FotMob/Opta/Yahoo Sports,https://www.fotmob.com/en-GB/matches/dr-congo-vs-portugal/1s6g4o,true,0.76,2026-06-18,2026-06-20
DR Congo,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,-0.136924,-1.074252,0,0,0.401628,0.803256,-0.82435,0.82435,0,0,0,0,-0.600655,0.791037,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/dr-congo-vs-portugal/1s6g4o,true,0.76,2026-06-18,2026-06-20
Uzbekistan,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,-0.136924,-0.515641,0,0,-0.217502,-0.435004,0.22316,-0.22316,0,0,0.276194,0.117604,-0.306114,-0.380303,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/colombia-vs-uzbekistan/2dm7x9,true,0.76,2026-06-18,2026-06-20
Colombia,WC2026-R1,1,4-2-3-1,高位压迫,控球推进,-0.136924,0.515641,0,0,0.192039,0.384078,-0.224371,0.224371,0,0,0.035002,0.175011,0.237652,0.264749,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/colombia-vs-uzbekistan/2dm7x9,true,0.76,2026-06-18,2026-06-20
England,WC2026-R1,1,3-4-2-1,中位压迫,混合推进,-0.136924,0.08594,0,0,0.276148,0.552296,-0.396729,0.396729,0,0,0.12836,0.641798,0.011083,0.534361,0.76,Opta Analyst,https://theanalyst.com/articles/england-vs-croatia-stats-world-cup-2026,true,0.76,2026-06-18,2026-06-20
Croatia,WC2026-R1,1,4-3-3,中位压迫,混合推进,-0.136924,-0.08594,0,0,-1.007908,-2.015817,1.611627,-1.611627,0,0,1.551978,0.606051,-0.079545,-1.996657,0.76,Opta Analyst,https://theanalyst.com/articles/england-vs-croatia-stats-world-cup-2026,true,0.76,2026-06-18,2026-06-20
Ghana,WC2026-R1,1,4-4-2,低位/被动,直接打法,-0.136924,-0.515641,0,0,0.222986,0.445971,-0.48595,0.48595,0,0,0.004354,0.021769,-0.306114,0.497824,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/panama-vs-ghana/1bjek0,true,0.76,2026-06-18,2026-06-20
Panama,WC2026-R1,1,4-4-2,高位压迫,控球推进,-0.136924,0.515641,0,0,0.14103,0.282061,-0.140902,0.140902,0,0,0.015835,0.079177,0.237652,0.147429,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/panama-vs-ghana/1bjek0,true,0.76,2026-06-18,2026-06-20
