matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,score,code,sp
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,4:0,s04s00,17.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,4:1,s04s01,27.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,4:2,s04s02,75.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,5:0,s05s00,45.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,5:1,s05s01,65.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,5:2,s05s02,175.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,负其他,s1sa,500.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,平其他,s1sd,650.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,胜其他,s1sh,46.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0:0,s00s00,10.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0:1,s00s01,5.75
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0:2,s00s02,5.80
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0:3,s00s03,10.50
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0:4,s00s04,21.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0:5,s00s05,60.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1:0,s01s00,14.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1:1,s01s01,6.80
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1:2,s01s02,6.75
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1:3,s01s03,12.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1:4,s01s04,28.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1:5,s01s05,70.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2:0,s02s00,30.00
